CREDIT_CODE|AMOUNT|CURRENCY|PAYMENT_DATE
133010009750|230.00|SOLES|2020-03-27
112310157873|30.00|SOLES|2020-03-03
132310447090|70.00|SOLES|2020-03-24
122310078672|171.30|SOLES|2020-03-09
153010012059|250.00|SOLES|2020-03-20
152310538292|100.00|SOLES|2020-03-02
122410002861|100.00|SOLES|2020-03-02
162310893589|152.00|SOLES|2020-03-12
172310249872|30.00|SOLES|2020-03-31
132310720595|200.00|SOLES|2020-03-16
252310557803|500.00|SOLES|2020-03-03
252310641565|185.00|SOLES|2020-03-16
252410028416|1000.00|SOLES|2020-03-31
252310450470|200.00|SOLES|2020-03-17
252310475428|100.00|SOLES|2020-03-05
252410032962|200.00|SOLES|2020-03-09
152310610687|625.00|SOLES|2020-03-12
162310184096|100.00|SOLES|2020-03-31
282310381862|553.00|SOLES|2020-03-16
162310648827|50.00|SOLES|2020-03-03
162310700651|50.00|SOLES|2020-03-26
302310261037|150.00|SOLES|2020-03-04
302310032503|100.00|SOLES|2020-03-14
303010018651|1100.10|SOLES|2020-03-14
252410023045|300.00|SOLES|2020-03-31
353010022534|300.00|SOLES|2020-03-06
352310136176|100.00|SOLES|2020-03-02
352310363747|400.00|SOLES|2020-03-11
462310262292|366.60|SOLES|2020-03-03
282310264977|500.00|SOLES|2020-03-03
512310434018|100.00|SOLES|2020-03-05
282910016454|300.00|SOLES|2020-03-03
302310079504|100.00|SOLES|2020-03-02
003710078027|200.00|SOLES|2020-03-30
302310615869|560.00|SOLES|2020-03-26
003710127774|186.00|SOLES|2020-03-30
006710033140|312.80|SOLES|2020-03-20
006710417582|1525.00|SOLES|2020-03-19
006710434363|2873.00|SOLES|2020-03-02
006710434363|744.00|SOLES|2020-03-12
006710474799|194.00|SOLES|2020-03-25
006710530558|383.00|SOLES|2020-03-31
006710656486|400.00|SOLES|2020-03-25
342410003350|280.00|SOLES|2020-03-26
007710319901|662.00|SOLES|2020-03-13
009710234247|296.00|SOLES|2020-03-16
009710417719|928.00|SOLES|2020-03-04
009710417719|2850.10|SOLES|2020-03-30
009710595621|583.30|SOLES|2020-03-13
010110179420|230.00|SOLES|2020-03-03
011710273076|257.00|SOLES|2020-03-05
622310050548|220.00|SOLES|2020-03-12
013710150163|200.00|SOLES|2020-03-23
015710072560|300.00|SOLES|2020-03-27
025710043388|570.50|SOLES|2020-03-09
026710230660|303.40|SOLES|2020-03-13
026710240610|810.00|SOLES|2020-03-11
027710073142|200.00|SOLES|2020-03-09
027710141162|400.00|SOLES|2020-03-03
028710073835|442.86|SOLES|2020-03-26
028710075236|200.00|SOLES|2020-03-16
028710177115|379.00|SOLES|2020-03-04
032310562783|250.00|SOLES|2020-03-17
032710105605|292.00|SOLES|2020-03-30
033710319527|187.00|SOLES|2020-03-27
033710319527|163.00|SOLES|2020-03-12
037710085608|128.40|SOLES|2020-03-16
037710157316|122.50|SOLES|2020-03-04
038710001710|282.00|SOLES|2020-03-31
040710926912|1436.50|SOLES|2020-03-12
041710391255|231.10|SOLES|2020-03-03
042710363328|1206.00|SOLES|2020-03-11
070710022966|438.10|SOLES|2020-03-12
081710129545|230.00|SOLES|2020-03-13
083710115532|600.00|SOLES|2020-03-30
083710142783|200.00|SOLES|2020-03-30
089710301998|250.00|SOLES|2020-03-04
097710060225|968.40|SOLES|2020-03-11
132310306114|50.00|SOLES|2020-03-02
132310659926|100.00|SOLES|2020-03-02
142310289699|1490.00|SOLES|2020-03-19
152310272645|200.00|SOLES|2020-03-07
162310673833|80.00|SOLES|2020-03-02
162310850852|100.00|SOLES|2020-03-02
162310964497|200.00|SOLES|2020-03-02
242910010394|250.00|SOLES|2020-03-23
293010045814|4276.18|SOLES|2020-03-11
312310191423|200.00|SOLES|2020-03-05
322310092430|155.00|SOLES|2020-03-11
352310733816|719.00|SOLES|2020-03-11
462310307097|144.38|SOLES|2020-03-04
582310026684|50.00|SOLES|2020-03-31
002710194073|1303.50|SOLES|2020-03-09
002710240983|2020.00|SOLES|2020-03-04
002710240983|56.00|SOLES|2020-03-07
002710136215|100.00|SOLES|2020-03-11
003710094859|300.00|SOLES|2020-03-16
003710095302|500.00|SOLES|2020-03-10
004710068711|300.00|SOLES|2020-03-10
003710151196|11.30|SOLES|2020-03-16
003710196431|300.00|SOLES|2020-03-31
006710388643|191.50|SOLES|2020-03-13
005710549188|322.50|SOLES|2020-03-12
007710246971|260.00|SOLES|2020-03-23
006710526788|335.00|SOLES|2020-03-11
006710743748|80.00|SOLES|2020-03-26
007710157798|147.00|SOLES|2020-03-12
009710185811|200.00|SOLES|2020-03-13
009710810871|600.00|SOLES|2020-03-19
009710410748|321.50|SOLES|2020-03-16
009710490435|384.00|SOLES|2020-03-16
009710490435|200.00|SOLES|2020-03-13
010710304741|680.00|SOLES|2020-03-26
011710158111|300.00|SOLES|2020-03-30
011710222818|200.00|SOLES|2020-03-01
012710054763|201.00|SOLES|2020-03-02
009710773368|490.00|SOLES|2020-03-04
011710018190|204.99|SOLES|2020-03-06
012710829511|212.00|SOLES|2020-03-02
011710603439|125.21|SOLES|2020-03-10
012710744025|620.00|SOLES|2020-03-31
012710809968|312.00|SOLES|2020-03-07
012710809968|453.40|SOLES|2020-03-24
013710158828|296.37|SOLES|2020-03-05
014710174096|1310.00|SOLES|2020-03-10
016710328580|881.40|SOLES|2020-03-07
013710542724|182.72|SOLES|2020-03-09
016710396868|1500.00|SOLES|2020-03-07
014710207078|229.00|SOLES|2020-03-26
017710029152|1200.00|SOLES|2020-03-06
016710571197|533.40|SOLES|2020-03-07
016710786787|62.00|SOLES|2020-03-05
017710414784|480.00|SOLES|2020-03-12
018710143290|300.00|SOLES|2020-03-19
017710421243|222.00|SOLES|2020-03-30
022310495548|1504.00|SOLES|2020-03-16
024710177353|1015.00|SOLES|2020-03-31
024710213463|1520.00|SOLES|2020-03-14
025710157493|330.00|SOLES|2020-03-12
027710041156|200.00|SOLES|2020-03-31
026710238135|1250.00|SOLES|2020-03-11
027710018667|600.00|SOLES|2020-03-09
027710140156|850.00|SOLES|2020-03-31
027710209829|225.00|SOLES|2020-03-24
022710612171|522.40|SOLES|2020-03-26
029710169029|300.00|SOLES|2020-03-31
025710076800|1000.10|SOLES|2020-03-03
025710093433|300.00|SOLES|2020-03-16
026710158093|1609.00|SOLES|2020-03-11
028710239873|100.00|SOLES|2020-03-10
030710170199|200.00|SOLES|2020-03-02
030710110682|1500.00|SOLES|2020-03-16
031710209540|250.00|SOLES|2020-03-11
032710187033|1100.00|SOLES|2020-03-30
030710586790|4.00|SOLES|2020-03-11
033710317554|195.00|SOLES|2020-03-11
031710221982|200.00|SOLES|2020-03-10
032310495430|100.00|SOLES|2020-03-04
032310542389|100.00|SOLES|2020-03-02
036710353586|86.00|SOLES|2020-03-06
032710028690|100.00|SOLES|2020-03-30
032710105290|400.00|SOLES|2020-03-03
038710014226|200.00|SOLES|2020-03-02
034710077693|181.00|SOLES|2020-03-04
